45,TechnoKats Robotics Team,Kokomo, Indiana
107,Team R.O.B.O.T.I.C.S.,Holland, Michigan
180,S.P.A.M.,Stuart, Florida
207,METALCRAFTERS,Hawthorne, California
236,Techno-Ticks,Old Lyme, Connecticut
401,Copperhead Robotics,Christiansburg, Virginia
498,Cobra Commanders,Glendale, Arizona
839,Rosie Robotics,Agawam, Massachusetts
980,ThunderBots,Sylmar, California
999,MechaRAMS,Cheshire, Connecticut
1208,Metool Brigade,O'Fallon, Illinois
1257,Parallel Universe,Scotch Plains, New Jersey
1310,RUNNYMEDE ROBOTICS,Toronto, Ontario
1318,Issaquah Robotics Society,Issaquah, Washington
1325,Inverse Paradox,Mississauga, Ontario
1391,The METAL MOOSE,Westtown, Pennsylvania
1501,Team THRUST,Huntington, Indiana
1540,Flaming Chickens,Portland, Oregon
1629,Garrett Coalition (GaCo),Accident, Maryland
1671,Buchanan Bird Brains,Clovis, California
1747,Harrison Boiler Robotics,West Lafayette, Indiana
1768,Robo Chiefs,Bolton, Massachusetts
1923,The MidKnight Inventors,Plainsboro, New Jersey
1973,Brighton Burning Tiger,Boston, Massachusetts
1986,Team Titanium,Lee's Summit, Missouri
2064,The Panther Project,Southbury / Middlebury, Connecticut
2338,Gear It Forward,Oswego, Illinois
2586,Copper Bots,Calumet, Michigan
2637,Phantom Catz,Rolling Hills Estates, California
2881,Lady Cans,Austin, Texas
3098,The Captains,Waterford, Michigan
3102,Tech-No-Tigers,Nevis, Minnesota
3135,Robotic Colonels,Chicago, Illinois
3166,First Year Ravens,Sandy, Utah
3211,The Y Team,Yeruham, HaDarom (Southern)
3389,TEC Tigers,Salisbury, Maryland
3527,Tec Balam Esmeralda,Atizapan de Zaragoza, Mexico
3533,Mékano,Montréal, Québec
3534,House of Cards,Davison, Michigan
3602,RoboMos,Escanaba, Michigan
3630,The Stampede,Golden Valley, Minnesota
3847,Spectrum,Houston , Texas
3932,The Dirty Mechanics,Boca Raton, Florida
4003,TriSonics,Allendale, Michigan
4039,MakeShift Robotics,Hamilton, Ontario
4103,Roborioles,Avon, Indiana
4125,Confidential,Umatilla, Oregon
4183,Bit Buckets,Tucson, Arizona
4508,Nuts and Bots,Schuylerville, New York
4519,King's Mechavaliers,Oakville, Ontario
4534,Wired Wizards,Wilmington, North Carolina
4564,Orange Chaos,Brewer, Maine
4590,Greenblitz,Kfar Hayarok, Tel-Aviv
4761,The Robockets,Reading, Massachusetts
4828,RoboEagles,Raleigh, North Carolina
4911,CyberKnights,Seattle, Washington
4931,Edwardsville Technologies,Edwardsville, Illinois
5024,Raider Robotics,London, Ontario
5050,Cow Town Robotics,Carleton, Michigan
5401,Fightin' Robotic Owls,Bensalem, Pennsylvania
5404,Gearaffes,Lansdale, Pennsylvania
5410,Eaglebotics,Coconut Creek, Florida
5417,Eagle Robotics,Allen, Texas
5422,Stormgears FRC,Westford, Massachusetts
5624,Tiger Tech,South Plainfield, New Jersey
5842,Royal Robotics,New Port Richey, Florida
5858,Golden Hurricane,Huntsville, Alabama
5876,ARTEMIS,Wahroonga, New South Wales
5878,The Great Lakers,Mackinac Island, Michigan
5926,MooBotics,St. Clair County 4-H, Michigan
5987,Galaxia,Haifa, Haifa
6032,Pirate Robotics,West Carrollton, Ohio
6035,House of Ulladulla,Ulladulla, New South Wales
6075,Leland Zebrotics,Leland, Michigan
6082,Calgary Tech Coalition (CTC),Calgary, Alberta
