70,More Martians,Goodrich, Michigan
123,Team - Cosmos,Hamtramck, Michigan
148,Robowranglers,Greenville, Texas
172,Northern Force,Gorham/Falmouth, Maine
193,MORT Beta,Flanders, New Jersey
231,High Voltage,Pasadena, Texas
294,Beach Cities Robotics,Redondo Beach, California
303,The T.E.S.T. Team,Bridgewater, New Jersey
346,RoboHawks,Chesterfield, Virginia
364,Team Fusion,Gulfport, Mississippi
422,Mech Tech Dragons,Richmond, Virginia
597,The Wolverines,Los Angeles, California
670,Homestead Robotics,Cupertino, California
686,Bovine Intervention,Walkersville, Maryland
771,SWAT,Oakville, Ontario
812,The Midnight Mechanics,San Diego, California
869,PowerCord,Middlesex, New Jersey
971,Spartan Robotics,Mountain View, California
1011,CRUSH,Tucson, Arizona
1218,Vulcan Robotics,Philadelphia, Pennsylvania
1323,MadTown Robotics,Madera, California
1425,Error Code Xero,Wilsonville, Oregon
1538,The Holy Cows,San Diego, California
1559,Devil-Tech,Victor, New York
1678,Citrus Circuits,Davis, California
1684,Chimeras,Lapeer, Michigan
1712,Dawgma,Ardmore, Pennsylvania
1730,Team Driven,Lee’s Summit, Missouri
1732,Hilltoppers,Milwaukee, Wisconsin
1736,Robot Casserole,Peoria, Illinois
1769,Digital Hawks,Kansas City, Kansas
1796,RoboTigers,Long Island City, New York
2013,Cybergnomes,Clearview Township, Ontario
2046,Bear Metal,Maple Valley, Washington
2405,Techno Trojans,Fruitport, Michigan
2438,'Iobotics,Honolulu, Hawaii
2471,Team Mean Machine,Camas, Washington
2733,Pigmice,Portland, Oregon
2990,Hotwire,Aumsville, Oregon
3019,Firebirds,Scottsdale, Arizona
3260,SHARP,Pittsburgh, Pennsylvania
3324,The Metrobots,Columbus, Ohio
3397,Robolions,University City, Missouri
3414,Hackbots,Farmington, Michigan
3604,Goon Squad,Brownstown, Michigan
3646,Integra,Istanbul, Istanbul
3880,Tiki Techs,Kailua-Kona, Hawaii
4060,S.W.A.G.,Chehalis, Washington
4085,Technical Difficulties,Reynoldsburg, Ohio
4216,Blue Ops Robotics,Jackson , Michigan
4241,Joliet Cyborgs,joliet, Illinois
4256,Cyborg Cats,Town and Country, Missouri
4334,Alberta Tech Alliance (ATA),Calgary, Alberta
4377,Boyne City Blaze,Boyne City, Michigan
4547,WestyTek,Johnstown, Pennsylvania
4587,Jersey Voltage,Houston, Texas
4920,Belle River Automatons,Belle River, Ontario
4967,That ONE Team,Belmont, Michigan
5098,STING - R,North Kansas City, Missouri
5166,Fabricators,Freeland, Michigan
5232,Talons,Hermantown, Minnesota
5254,HYPE,Trumansburg, New York
5431,Titan Robotics,Plano, Texas
5546,A.R.T.,Petersburg, Virginia
5618,PLS,Plessisville, Québec
5801,CTC Inspire,Independence, Missouri
5805,SMbly Required,Rancho Santa Margarita, California
5811,Bonds,Dayton, Ohio
5839,Blue Whales,Nanjing, Jiangsu
5847,Ironclad,Bradley, Illinois
5899,FROST,Highlands Ranch, Colorado
5910,Supertronix,Matane, Québec
5996,R.U.R.,Prague, Praha 8
6070,Gryphon Machine,Mississauga, Ontario
6153,Blue Crew,Farmington, Maine
