33,Killer Bees,Auburn Hills, Michigan
66,Grizzly Robotics,Ypsilanti, Michigan
74,Team C.H.A.O.S.,Holland, Michigan
111,WildStang,Arlington Heights, Illinois
177,Bobcat Robotics,South Windsor, Connecticut
181,Birds Of Prey,Hartford, Connecticut
272,Cyber-Crusaders,Lansdale, Pennsylvania
329,Mohawks,Medford, New York
423,Simple Machines,Wyncote, Pennsylvania
433,Firebirds,Flourtown, Pennsylvania
461,Westside Boiler Invasion,West Lafayette, Indiana
537,Charger Robotics,Sussex, Wisconsin
540,TALON 540 Godwin Robotics,Henrico, Virginia
548,Robostangs,Northville, Michigan
604,Quixilver,San Jose, California
781,Kinetic Knights,Kincardine, Ontario
1099,DiscoTechs,Brookfield, Connecticut
1250,Gator-Bots,Dearborn, Michigan
1306,BadgerBOTS,Middleton, Wisconsin
1405,Finney Falcons,Penfield, New York
1510,Wildcats,Beaverton, Oregon
1622,Team Spyder,Poway, California
1675,UPS (Ultimate Protection Squad),Milwaukee, Wisconsin
1690,Orbit,Binyamina, HaZafon (Northern)
1756,Argos,Peoria, Illinois
1806,S.W.A.T.,Smithville, Missouri
1860,Cephatron,Sao Jose dos Campos, São Paulo
2054,Tech Vikes,Hopkins, Michigan
2056,OP Robotics,Stoney Creek, Ontario
2194,Fondy Fire,Fond du Lac, Wisconsin
2337,EngiNERDs,Grand Blanc, Michigan
2363,Triple Helix,Newport News, Virginia
2415,WiredCats,Atlanta, Georgia
2451,PWNAGE,Saint Charles, Illinois
2522,Royal Robotics,Lynnwood, Washington
2619,The Charge,Midland, Michigan
2783,Engineers of Tomorrow,Mount Washington, Kentucky
2823,The Automatons,St Paul, Minnesota
2834,Bionic Black Hawks,Bloomfield Hills, Michigan
3015,Ranger Robotics,Spencerport, New York
3039,Wildcat Robotics,Destrehan, Louisiana
3042,Cobalt Catalysts,Apple Valley, Minnesota
3044,Team 0xBE4,Ballston Spa, New York
3130,The East Ridge Robotic Ominous RaptorS - the ERRORS,Woodbury, Minnesota
3158,TECBOT,Toluca, Mexico
3238,Cyborg Ferrets,Anacortes, Washington
3245,Ravens,Sandy, Utah
3303,Metallic Thunder,Fresno, California
3560,Chingrobotics,Brampton, Ontario
3655,Tractor Technicians,Mason, Michigan
3853,Pridetronics,Phoenix, Arizona
4391,BraveBots,Gladstone, Michigan
4401,CETMOV,Laguna del Rey Coahuila, Coahuila
4468,Fernbank LINKS,Atlanta, Georgia
4488,Shockwave,Hillsboro, Oregon
4905,Andromeda One,Ayer, Massachusetts
4930,Electric Mayhem,Buffalo, New York
5016,Huntington Robotics,Huntington, New York
5030,The Second Mouse,Utica, New York
5053,Lakers,Waterford, Michigan
5114,Titanium Tigers,Fenton, Michigan
5437,Rocky Balboabots,Booneville, Arkansas
5439,Huskies,Québec, Québec
5677,The Subatomic Smarticles,San Jose, California
5726,RHUMBOTZ,San Antonio, Texas
5804,TORCH,Richmond, Virginia
5809,The Jesubots,Kansas City, Missouri
5854,GLITCH,Asheville, North Carolina
5912,Hawkeyes,Jordan, Ontario
5915,Mercy Midnight Storm,Detroit, Michigan
6055,Pioneers,Batesville , Arkansas
6134,Robo Ram,Zapopan, Jalisco
6171,WCR,Plano, Texas
6219,Cuttin' Edge Robotics,Blountville, Tennessee
6221,Vandals,Miami, Arizona
